Név,Dátum,Nyitó ár,Maximum ár,Minimum ár,Utolsó ár
BUX,2013.06.10.,19731.76,19880.6,19669.74,19743.65
BUX,2013.06.11.,19789.07,19789.07,19532.02,19589.55
BUX,2013.06.12.,19603.18,19656.43,19477.98,19542.72
BUX,2013.06.13.,19417.39,19529.25,19347.33,19414.07
BUX,2013.06.14.,19526.55,19689.47,19498.23,19535.21
BUX,2013.06.17.,19555.09,19636.75,19255.73,19276.74
BUX,2013.06.18.,19321.2,19321.2,19144.61,19189.9
BUX,2013.06.19.,19244.58,19279.24,19026.68,19026.68
BUX,2013.06.20.,18853.69,19003.02,18711.35,18739.4
BUX,2013.06.21.,18776.08,18883.0,18336.03,18336.03
BUX,2013.06.24.,18299.38,18522.55,18282.33,18303.52
BUX,2013.06.25.,18478.03,18492.46,18303.93,18303.93
BUX,2013.06.26.,18372.3,18565.65,18332.45,18565.65
BUX,2013.06.27.,18610.18,18654.94,18505.64,18633.55
BUX,2013.06.28.,18685.93,19023.96,18685.93,19023.96
BUX,2013.07.01.,18847.55,19015.53,18823.82,18909.52
BUX,2013.07.02.,18915.23,18950.39,18616.11,18616.11
BUX,2013.07.03.,18597.96,18597.96,18427.78,18484.74
BUX,2013.07.04.,18558.69,18907.8,18558.69,18855.33
BUX,2013.07.05.,18953.97,19051.12,18893.81,18893.81
BUX,2013.07.08.,19005.91,19177.82,18916.26,19156.94
BUX,2013.07.09.,19199.47,19423.46,19193.81,19423.46
BUX,2013.07.10.,19425.55,19547.52,19350.12,19547.52
BUX,2013.07.11.,19659.41,19737.33,19199.31,19199.31
BUX,2013.07.12.,19299.27,19531.8,19268.31,19531.8
BUX,2013.07.15.,19584.75,19716.7,19548.15,19716.7
BUX,2013.07.16.,19713.05,19739.21,19568.34,19717.4
BUX,2013.07.17.,19668.06,19668.06,19341.19,19420.5
BUX,2013.07.18.,19326.58,19326.58,18906.07,18969.33
BUX,2013.07.19.,18956.78,18956.78,17874.69,18247.17
BUX,2013.07.22.,18090.31,18341.77,17904.39,18244.42
BUX,2013.07.23.,18145.59,18325.4,18098.39,18325.4
BUX,2013.07.24.,18273.68,18576.05,18174.44,18520.55
BUX,2013.07.25.,18618.61,18719.27,18521.85,18633.17
BUX,2013.07.26.,18646.2,18747.2,18364.98,18467.76
BUX,2013.07.29.,18420.88,18459.57,18045.22,18162.97
BUX,2013.07.30.,18175.39,18294.51,17916.67,18270.94
BUX,2013.07.31.,18196.16,18552.34,18131.38,18552.34
BUX,2013.08.01.,18611.18,18611.18,18344.65,18380.88
BUX,2013.08.02.,18429.5,18471.67,18267.4,18443.38
BUX,2013.08.05.,18471.69,18482.43,18315.52,18432.12
BUX,2013.08.06.,18370.36,18399.35,18129.77,18225.61
BUX,2013.08.07.,18202.54,18374.44,18080.52,18292.97
BUX,2013.08.08.,18343.06,18798.7,18341.12,18798.7
BUX,2013.08.09.,18821.94,18897.62,18701.21,18706.78
BUX,2013.08.12.,18707.18,18770.71,18575.24,18705.38
BUX,2013.08.13.,18722.72,18881.77,18578.14,18655.33
BUX,2013.08.14.,18660.63,18662.79,18514.68,18632.31
BUX,2013.08.15.,18636.08,18636.08,18319.71,18322.71
BUX,2013.08.16.,18285.34,18491.87,18274.84,18411.25
BUX,2013.08.21.,18340.82,18351.99,18014.76,18101.52
BUX,2013.08.22.,18045.07,18188.53,17967.16,18156.52
BUX,2013.08.23.,18153.19,18197.14,18084.82,18146.21
BUX,2013.08.26.,18161.03,18296.25,18130.06,18243.97
BUX,2013.08.27.,18191.55,18207.07,17828.96,17884.19
BUX,2013.08.28.,17801.62,18254.9,17739.79,18181.64
BUX,2013.08.29.,18138.54,18210.14,18003.38,18046.71
BUX,2013.08.30.,18060.57,18275.2,18017.17,18198.84
BUX,2013.09.02.,18266.83,18416.32,18192.89,18192.89
BUX,2013.09.03.,18254.14,18293.85,18157.72,18271.61
BUX,2013.09.04.,18212.13,18296.48,18133.95,18156.25
BUX,2013.09.05.,18173.9,18237.42,17994.4,18147.23
BUX,2013.09.06.,18120.76,18127.83,17913.64,18015.16
BUX,2013.09.09.,18017.96,18066.56,17847.58,17922.55
BUX,2013.09.10.,18060.01,18149.4,18005.12,18092.9
BUX,2013.09.11.,18128.3,18387.99,18024.88,18387.99
BUX,2013.09.12.,18245.34,18322.79,18136.25,18290.57
BUX,2013.09.13.,18277.05,18423.68,18210.58,18423.68
BUX,2013.09.16.,18486.89,18627.37,18467.75,18627.37
BUX,2013.09.17.,18599.78,18660.79,18541.99,18629.09
BUX,2013.09.18.,18638.06,18662.59,18412.46,18454.66
BUX,2013.09.19.,18733.61,18759.37,18357.2,18468.92
BUX,2013.09.20.,18398.2,18433.39,18133.8,18245.91
BUX,2013.09.23.,18202.58,18286.31,18142.0,18196.08
BUX,2013.09.24.,18271.04,18389.32,18211.96,18389.32
BUX,2013.09.25.,18602.59,18750.75,18601.52,18687.49
BUX,2013.09.26.,18695.51,18763.02,18643.81,18729.87
BUX,2013.09.27.,18753.8,18807.07,18625.39,18659.73
BUX,2013.09.30.,18611.02,18670.96,18565.09,18663.34
BUX,2013.10.01.,18643.84,18811.61,18610.96,18811.61
BUX,2013.10.02.,18768.57,18772.17,18591.73,18645.35
BUX,2013.10.03.,18635.56,18682.03,18446.91,18575.8
BUX,2013.10.04.,18572.8,18572.8,18299.77,18535.36
BUX,2013.10.07.,18470.58,18488.4,18345.44,18439.3
BUX,2013.10.08.,18374.11,18523.15,18354.7,18501.98
BUX,2013.10.09.,18497.08,18497.94,18345.18,18403.21
BUX,2013.10.10.,18445.82,18679.38,18440.17,18679.38
BUX,2013.10.11.,18762.71,18762.71,18600.69,18638.17
BUX,2013.10.14.,18580.4,18596.05,18479.76,18550.87
BUX,2013.10.15.,18583.34,18757.48,18583.34,18713.54
BUX,2013.10.16.,18680.68,18680.68,18279.83,18420.61
BUX,2013.10.17.,18487.98,18552.12,18377.68,18456.14
BUX,2013.10.18.,18499.36,18567.87,18482.25,18547.65
BUX,2013.10.21.,18557.42,18786.57,18524.77,18786.57
BUX,2013.10.22.,18730.52,18781.87,18643.78,18658.1
BUX,2013.10.24.,18607.26,18756.72,18607.26,18756.72
BUX,2013.10.25.,18706.45,18906.69,18706.45,18849.45
BUX,2013.10.28.,18893.87,18948.39,18711.84,18717.05
BUX,2013.10.29.,18765.54,18785.98,18687.01,18780.68
BUX,2013.10.30.,18803.11,18913.64,18748.91,18823.24
BUX,2013.10.31.,18829.42,18829.42,18641.2,18827.03
BUX,2013.11.04.,18915.24,19236.54,18753.17,19148.65
BUX,2013.11.05.,19198.16,19386.47,19119.45,19181.33
BUX,2013.11.06.,19242.59,19305.0,19105.36,19217.65
BUX,2013.11.07.,19202.96,19221.3,18847.1,18897.17
BUX,2013.11.08.,18774.62,18948.26,18717.82,18948.26
BUX,2013.11.11.,18908.42,18916.61,18657.3,18749.1
BUX,2013.11.12.,18790.82,18953.29,18720.82,18727.94
BUX,2013.11.13.,18744.67,18772.36,18448.55,18448.55
BUX,2013.11.14.,18636.3,18930.18,18636.3,18821.21
BUX,2013.11.15.,18977.12,18994.13,18821.33,18882.95
BUX,2013.11.18.,18895.39,18934.75,18773.98,18855.2
BUX,2013.11.19.,18815.89,18815.89,18632.24,18680.74
BUX,2013.11.20.,18662.18,18662.18,18406.89,18491.99
BUX,2013.11.21.,18386.13,18594.05,18327.24,18594.05
BUX,2013.11.22.,18558.01,18618.66,18519.84,18565.69
BUX,2013.11.25.,18556.72,18655.18,18525.32,18602.17
BUX,2013.11.26.,18592.5,18625.25,18342.1,18342.1
BUX,2013.11.27.,18517.76,18630.72,18429.54,18508.07
BUX,2013.11.28.,18585.96,18632.31,18419.93,18546.47
BUX,2013.11.29.,18557.04,18809.76,18520.23,18809.76
BUX,2013.12.02.,18788.92,18929.48,18743.74,18790.7
BUX,2013.12.03.,18869.58,18940.77,18632.25,18632.25
BUX,2013.12.04.,18670.06,18782.18,18592.82,18699.08
BUX,2013.12.05.,18616.15,18742.06,18529.34,18529.34
BUX,2013.12.06.,18535.052243,18651.213936,18463.34247,18464.46
BUX,2013.12.09.,18464.413824,18570.100341,18239.220543,18244.96
BUX,2013.12.10.,18233.959082,18371.897376,18198.826791,18236.504038
BUX,2013.12.11.,18220.17736,18433.593029,18154.671315,18433.593029
BUX,2013.12.12.,18402.896328,18406.587595,18255.44035,18281.349949
BUX,2013.12.13.,18320.072797,18524.510667,18314.331188,18424.715249
BUX,2013.12.16.,18436.269809,18881.821912,18436.269809,18781.0068300683
BUX,2013.12.17.,18821.391918,18858.736321,18571.307548,18617.51628951629
BUX,2013.12.18.,18626.983115,18694.808064,18524.244675,18611.553269
